portal_event_id,portal_session_id,client_id,portal_user_id,portal_user_role,client_contact_email_domain,event_datetime,channel,request_reference,event_type,case_priority,first_response_hours,sla_breach_flag,case_status,effective_at,updated_at
CRM-0000016,PORTAL-SESSION-0000016,CLI-0003,PORTAL-USER-00023,Executive Viewer,healthcare-client-03.example.com,2025-04-23T12:00:00,Client Portal,REQ-0000016,Report Download,Critical,23.9,N,Open,2026-05-25T14:52:00,2026-05-26T08:08:00
CRM-0000017,PORTAL-SESSION-0000017,CLI-0012,PORTAL-USER-00041,Driver Coordinator,government-client-12.example.com,2025-07-17T02:00:00,Phone,REQ-0000017,Quote Request,Critical,11.5,N,Resolved,2026-05-26T14:59:00,2026-05-27T08:01:00
CRM-0000018,PORTAL-SESSION-0000018,CLI-0003,PORTAL-USER-00055,Driver Coordinator,healthcare-client-03.example.com,2025-07-08T02:00:00,Client Portal,REQ-0000018,Quote Request,Critical,11.9,N,Pending Client,2026-05-26T14:58:00,2026-05-27T08:02:00
CRM-0000019,PORTAL-SESSION-0000019,CLI-0003,PORTAL-USER-00049,Finance User,healthcare-client-03.example.com,2025-10-23T23:00:00,Email,REQ-0000019,Maintenance Query,Low,12.9,N,Pending Client,2026-05-26T14:57:00,2026-05-27T08:03:00
CRM-0000020,PORTAL-SESSION-0000020,CLI-0001,PORTAL-USER-00003,Driver Coordinator,professional-services-client-01.example.com,2026-02-20T04:00:00,CRM Case,REQ-0000020,Maintenance Query,High,24.0,N,Open,2026-05-26T14:56:00,2026-05-27T08:04:00
CRM-0000021,PORTAL-SESSION-0000021,CLI-0005,PORTAL-USER-00012,Finance User,healthcare-client-05.example.com,2026-01-09T21:00:00,Email,REQ-0000021,Quote Request,High,20.6,Y,Open,2026-05-26T14:55:00,2026-05-27T08:05:00
CRM-0000022,PORTAL-SESSION-0000022,CLI-0018,PORTAL-USER-00059,Executive Viewer,professional-services-client-18.example.com,2025-10-18T20:00:00,Client Portal,REQ-0000022,Report Download,Low,7.8,N,Open,2026-05-26T14:54:00,2026-05-27T08:06:00
CRM-0000023,PORTAL-SESSION-0000023,CLI-0016,PORTAL-USER-00078,Finance User,government-client-16.example.com,2025-04-29T02:00:00,CRM Case,REQ-0000023,Maintenance Query,Low,24.3,N,Open,2026-05-26T14:53:00,2026-05-27T08:07:00
CRM-0000024,PORTAL-SESSION-0000024,CLI-0017,PORTAL-USER-00061,Executive Viewer,construction-client-17.example.com,2025-10-01T19:00:00,Email,REQ-0000024,Vehicle Order,High,33.9,N,Resolved,2026-05-26T14:52:00,2026-05-27T08:08:00
CRM-0000025,PORTAL-SESSION-0000025,CLI-0003,PORTAL-USER-00043,Driver Coordinator,healthcare-client-03.example.com,2025-11-19T12:00:00,CRM Case,REQ-0000025,Quote Request,Critical,6.6,N,Resolved,2026-05-27T14:59:00,2026-05-28T08:01:00
CRM-0000026,PORTAL-SESSION-0000026,CLI-0006,PORTAL-USER-00009,Driver Coordinator,utilities-client-06.example.com,2025-03-03T18:00:00,Client Portal,REQ-0000026,Invoice Query,Low,29.1,N,Escalated,2026-05-27T14:58:00,2026-05-28T08:02:00
CRM-0000027,PORTAL-SESSION-0000027,CLI-0015,PORTAL-USER-00062,Fleet Manager,healthcare-client-15.example.com,2026-02-14T09:00:00,Client Portal,REQ-0000027,Quote Request,High,15.2,Y,Open,2026-05-27T14:57:00,2026-05-28T08:03:00
CRM-0000028,PORTAL-SESSION-0000028,CLI-0010,PORTAL-USER-00056,Executive Viewer,government-client-10.example.com,2025-10-06T21:00:00,Phone,REQ-0000028,Invoice Query,Low,21.4,N,Pending Client,2026-05-27T14:56:00,2026-05-28T08:04:00
CRM-0000029,PORTAL-SESSION-0000029,CLI-0007,PORTAL-USER-00055,Fleet Manager,utilities-client-07.example.com,2025-07-17T11:00:00,Email,REQ-0000029,Invoice Query,Medium,0.9,N,Escalated,2026-05-27T14:55:00,2026-05-28T08:05:00
CRM-0000030,PORTAL-SESSION-0000030,CLI-0008,PORTAL-USER-00005,Executive Viewer,government-client-08.example.com,2025-08-29T06:00:00,Email,REQ-0000030,Report Download,Low,22.2,Y,Open,2026-05-27T14:54:00,2026-05-28T08:06:00
CRM-0000031,PORTAL-SESSION-0000031,CLI-0004,PORTAL-USER-00073,Driver Coordinator,utilities-client-04.example.com,2026-03-28T20:00:00,CRM Case,REQ-0000031,Report Download,Low,8.1,N,Pending Client,2026-05-27T14:53:00,2026-05-28T08:07:00
CRM-0000032,PORTAL-SESSION-0000032,CLI-0012,PORTAL-USER-00002,Finance User,government-client-12.example.com,2025-10-31T14:00:00,Email,REQ-0000032,Invoice Query,Medium,5.9,N,Open,2026-05-27T14:52:00,2026-05-28T08:08:00
CRM-0000033,PORTAL-SESSION-0000033,CLI-0007,PORTAL-USER-00031,Fleet Manager,utilities-client-07.example.com,2025-08-07T09:00:00,Email,REQ-0000033,Report Download,High,33.0,N,Escalated,2025-08-07T09:00:00,2025-08-12T09:00:00
CRM-0000034,PORTAL-SESSION-0000034,CLI-0010,PORTAL-USER-00056,Finance User,government-client-10.example.com,2025-07-31T21:00:00,Email,REQ-0000034,Invoice Query,High,31.5,N,Pending Client,2025-07-31T21:00:00,2025-08-04T21:00:00
CRM-0000035,PORTAL-SESSION-0000035,CLI-0009,PORTAL-USER-00040,Fleet Manager,professional-services-client-09.example.com,2026-02-07T02:00:00,Phone,REQ-0000035,Report Download,Medium,27.1,N,Resolved,2026-02-07T02:00:00,2026-02-11T02:00:00
CRM-0000036,PORTAL-SESSION-0000036,CLI-0015,PORTAL-USER-00074,Driver Coordinator,healthcare-client-15.example.com,2025-05-26T07:00:00,Phone,REQ-0000036,Invoice Query,Low,19.0,N,Pending Client,2025-05-26T07:00:00,2025-05-29T07:00:00
CRM-0000037,PORTAL-SESSION-0000037,CLI-0002,PORTAL-USER-00065,Executive Viewer,utilities-client-02.example.com,2025-10-31T10:00:00,CRM Case,REQ-0000037,Report Download,Critical,26.1,N,Resolved,2025-10-31T10:00:00,2025-11-01T10:00:00
CRM-0000038,PORTAL-SESSION-0000038,CLI-0008,PORTAL-USER-00002,Executive Viewer,government-client-08.example.com,2025-03-22T03:00:00,CRM Case,REQ-0000038,Quote Request,Medium,4.2,Y,Open,2025-03-22T03:00:00,2025-03-29T03:00:00
CRM-0000039,PORTAL-SESSION-0000039,CLI-0011,PORTAL-USER-00045,Finance User,government-client-11.example.com,2025-06-04T16:00:00,Email,REQ-0000039,Renewal Discussion,Critical,13.4,Y,Pending Client,2025-06-04T16:00:00,2025-06-17T16:00:00
CRM-0000040,PORTAL-SESSION-0000040,CLI-0005,PORTAL-USER-00002,Fleet Manager,healthcare-client-05.example.com,2025-01-20T07:00:00,Email,REQ-0000040,Invoice Query,Critical,30.6,Y,Open,2025-01-20T07:00:00,2025-01-22T07:00:00
CRM-0000041,PORTAL-SESSION-0000041,CLI-0008,PORTAL-USER-00004,Finance User,government-client-08.example.com,2025-10-18T01:00:00,Email,REQ-0000041,Quote Request,Medium,28.1,N,Escalated,2025-10-18T01:00:00,2025-10-23T01:00:00
CRM-0000042,PORTAL-SESSION-0000042,CLI-0013,PORTAL-USER-00068,Executive Viewer,utilities-client-13.example.com,2026-03-19T11:00:00,CRM Case,REQ-0000042,Invoice Query,High,22.6,Y,Open,2026-03-19T11:00:00,2026-03-27T11:00:00
CRM-0000043,PORTAL-SESSION-0000043,CLI-0014,PORTAL-USER-00074,Finance User,professional-services-client-14.example.com,2026-05-13T02:00:00,Client Portal,REQ-0000043,Invoice Query,High,19.9,N,Resolved,2026-05-13T02:00:00,2026-05-24T02:00:00
CRM-0000044,PORTAL-SESSION-0000044,CLI-0011,PORTAL-USER-00029,Fleet Manager,government-client-11.example.com,2025-07-23T12:00:00,Client Portal,REQ-0000044,Vehicle Order,High,1.8,N,Resolved,2025-07-23T12:00:00,2025-08-06T12:00:00
CRM-0000045,PORTAL-SESSION-0000045,CLI-0006,PORTAL-USER-00021,Finance User,utilities-client-06.example.com,2025-04-08T13:00:00,Client Portal,REQ-0000045,Vehicle Order,Medium,11.2,N,Pending Client,2025-04-08T13:00:00,2025-04-12T13:00:00
CRM-0000046,PORTAL-SESSION-0000046,CLI-0014,PORTAL-USER-00014,Fleet Manager,professional-services-client-14.example.com,2025-04-17T20:00:00,Email,REQ-0000046,Vehicle Order,Critical,25.7,Y,Escalated,2025-04-17T20:00:00,2025-04-29T20:00:00
CRM-0000047,PORTAL-SESSION-0000047,CLI-0018,PORTAL-USER-00005,Driver Coordinator,professional-services-client-18.example.com,2026-03-02T00:00:00,CRM Case,REQ-0000047,Report Download,High,13.8,N,Pending Client,2026-03-02T00:00:00,2026-03-16T00:00:00
CRM-0000048,PORTAL-SESSION-0000048,CLI-0003,PORTAL-USER-00063,Executive Viewer,healthcare-client-03.example.com,2025-11-28T21:00:00,Email,REQ-0000048,Quote Request,Critical,9.6,N,Resolved,2025-11-28T21:00:00,2025-12-01T21:00:00
CRM-0000049,PORTAL-SESSION-0000049,CLI-0011,PORTAL-USER-00030,Driver Coordinator,government-client-11.example.com,2025-01-30T04:00:00,Client Portal,REQ-0000049,Vehicle Order,Medium,29.4,N,Escalated,2025-01-30T04:00:00,2025-02-05T04:00:00
CRM-0000050,PORTAL-SESSION-0000050,CLI-0011,PORTAL-USER-00044,Finance User,government-client-11.example.com,2025-04-03T14:00:00,CRM Case,REQ-0000050,Vehicle Order,Medium,18.8,N,Pending Client,2025-04-03T14:00:00,2025-04-03T14:00:00
CRM-0000051,PORTAL-SESSION-0000051,CLI-0005,PORTAL-USER-00043,Executive Viewer,healthcare-client-05.example.com,2025-01-09T04:00:00,Client Portal,REQ-0000051,Vehicle Order,Medium,31.6,N,Open,2025-01-09T04:00:00,2025-01-12T04:00:00
CRM-0000052,PORTAL-SESSION-0000052,CLI-0007,PORTAL-USER-00060,Executive Viewer,utilities-client-07.example.com,2025-05-10T13:00:00,Client Portal,REQ-0000052,Renewal Discussion,Low,24.2,Y,Escalated,2025-05-10T13:00:00,2025-05-15T13:00:00
CRM-0000053,PORTAL-SESSION-0000053,CLI-0001,PORTAL-USER-00019,Executive Viewer,professional-services-client-01.example.com,2025-08-13T13:00:00,Email,REQ-0000053,Invoice Query,Medium,32.4,N,Pending Client,2025-08-13T13:00:00,2025-08-17T13:00:00
CRM-0000054,PORTAL-SESSION-0000054,CLI-0012,PORTAL-USER-00011,Finance User,government-client-12.example.com,2025-04-18T01:00:00,CRM Case,REQ-0000054,Renewal Discussion,High,29.4,N,Pending Client,2025-04-18T01:00:00,2025-04-18T01:00:00
CRM-0000055,PORTAL-SESSION-0000055,CLI-0007,PORTAL-USER-00017,Fleet Manager,utilities-client-07.example.com,2025-05-19T22:00:00,CRM Case,REQ-0000055,Report Download,High,16.6,N,Open,2025-05-19T22:00:00,2025-05-26T22:00:00
CRM-0000056,PORTAL-SESSION-0000056,CLI-0006,PORTAL-USER-00085,Finance User,utilities-client-06.example.com,2026-05-06T05:00:00,Email,REQ-0000056,Quote Request,High,2.2,Y,Resolved,2026-05-06T05:00:00,2026-05-16T05:00:00
CRM-0000057,PORTAL-SESSION-0000057,CLI-0018,PORTAL-USER-00014,Executive Viewer,professional-services-client-18.example.com,2025-08-25T23:00:00,Phone,REQ-0000057,Invoice Query,High,15.0,N,Resolved,2025-08-25T23:00:00,2025-08-25T23:00:00
CRM-0000058,PORTAL-SESSION-0000058,CLI-0013,PORTAL-USER-00070,Finance User,utilities-client-13.example.com,2025-07-04T20:00:00,Phone,REQ-0000058,Vehicle Order,Critical,22.7,N,Open,2025-07-04T20:00:00,2025-07-06T20:00:00
CRM-0000059,PORTAL-SESSION-0000059,CLI-0005,PORTAL-USER-00006,Driver Coordinator,healthcare-client-05.example.com,2025-06-12T19:00:00,Phone,REQ-0000059,Maintenance Query,High,25.7,N,Pending Client,2025-06-12T19:00:00,2025-06-19T19:00:00
CRM-0000060,PORTAL-SESSION-0000060,CLI-0008,PORTAL-USER-00058,Fleet Manager,government-client-08.example.com,2025-11-18T06:00:00,CRM Case,REQ-0000060,Quote Request,Medium,3.1,N,Open,2025-11-18T06:00:00,2025-11-26T06:00:00
CRM-0000061,PORTAL-SESSION-0000061,CLI-0015,PORTAL-USER-00006,Finance User,healthcare-client-15.example.com,2026-05-10T16:00:00,Email,REQ-0000061,Renewal Discussion,Critical,29.1,N,Open,2026-05-10T16:00:00,2026-05-17T16:00:00
CRM-0000062,PORTAL-SESSION-0000062,CLI-0002,PORTAL-USER-00038,Fleet Manager,utilities-client-02.example.com,2026-03-18T15:00:00,CRM Case,REQ-0000062,Report Download,Medium,12.8,N,Resolved,2026-03-18T15:00:00,2026-03-20T15:00:00
CRM-0000063,PORTAL-SESSION-0000063,CLI-0011,PORTAL-USER-00064,Fleet Manager,government-client-11.example.com,2026-01-12T03:00:00,CRM Case,REQ-0000063,Vehicle Order,Medium,32.6,Y,Resolved,2026-01-12T03:00:00,2026-01-15T03:00:00
CRM-0000064,PORTAL-SESSION-0000064,CLI-0008,PORTAL-USER-00024,Finance User,government-client-08.example.com,2025-10-13T14:00:00,Client Portal,REQ-0000064,Invoice Query,High,5.5,N,Escalated,2025-10-13T14:00:00,2025-10-15T14:00:00
CRM-0000065,PORTAL-SESSION-0000065,CLI-0013,PORTAL-USER-00088,Driver Coordinator,utilities-client-13.example.com,2025-12-14T10:00:00,Phone,REQ-0000065,Vehicle Order,Medium,26.7,N,Pending Client,2025-12-14T10:00:00,2025-12-17T10:00:00
CRM-0000066,PORTAL-SESSION-0000066,CLI-0010,PORTAL-USER-00057,Fleet Manager,government-client-10.example.com,2025-05-31T09:00:00,Email,REQ-0000066,Report Download,Critical,18.4,N,Open,2025-05-31T09:00:00,2025-06-04T09:00:00
CRM-0000067,PORTAL-SESSION-0000067,CLI-0015,PORTAL-USER-00002,Driver Coordinator,healthcare-client-15.example.com,2025-01-11T05:00:00,Phone,REQ-0000067,Report Download,High,2.7,N,Pending Client,2025-01-11T05:00:00,2025-01-23T05:00:00
CRM-0000068,PORTAL-SESSION-0000068,CLI-0015,PORTAL-USER-00080,Finance User,healthcare-client-15.example.com,2025-09-12T08:00:00,Phone,REQ-0000068,Maintenance Query,Medium,5.8,N,Escalated,2025-09-12T08:00:00,2025-09-15T08:00:00
CRM-0000069,PORTAL-SESSION-0000069,CLI-0009,PORTAL-USER-00064,Executive Viewer,professional-services-client-09.example.com,2025-04-05T14:00:00,Email,REQ-0000069,Vehicle Order,Medium,32.8,N,Open,2025-04-05T14:00:00,2025-04-11T14:00:00
CRM-0000070,PORTAL-SESSION-0000070,CLI-0003,PORTAL-USER-00045,Fleet Manager,healthcare-client-03.example.com,2026-03-30T12:00:00,CRM Case,REQ-0000070,Report Download,Medium,1.1,N,Pending Client,2026-03-30T12:00:00,2026-04-01T12:00:00
CRM-0000071,PORTAL-SESSION-0000071,CLI-0010,PORTAL-USER-00042,Executive Viewer,government-client-10.example.com,2025-03-01T02:00:00,CRM Case,REQ-0000071,Quote Request,Medium,21.3,N,Escalated,2025-03-01T02:00:00,2025-03-04T02:00:00
CRM-0000072,PORTAL-SESSION-0000072,CLI-0014,PORTAL-USER-00086,Finance User,professional-services-client-14.example.com,2025-05-06T14:00:00,Phone,REQ-0000072,Vehicle Order,High,23.9,N,Open,2025-05-06T14:00:00,2025-05-12T14:00:00
CRM-0000073,PORTAL-SESSION-0000073,CLI-0013,PORTAL-USER-00085,Driver Coordinator,utilities-client-13.example.com,2025-02-08T10:00:00,Client Portal,REQ-0000073,Renewal Discussion,High,3.6,N,Open,2025-02-08T10:00:00,2025-02-11T10:00:00
CRM-0000074,PORTAL-SESSION-0000074,CLI-0018,PORTAL-USER-00006,Driver Coordinator,professional-services-client-18.example.com,2026-01-25T01:00:00,CRM Case,REQ-0000074,Renewal Discussion,Medium,2.4,N,Pending Client,2026-01-25T01:00:00,2026-02-07T01:00:00
CRM-0000075,PORTAL-SESSION-0000075,CLI-0005,PORTAL-USER-00010,Driver Coordinator,healthcare-client-05.example.com,2025-02-18T05:00:00,Email,REQ-0000075,Report Download,Low,25.6,N,Escalated,2025-02-18T05:00:00,2025-02-26T05:00:00
CRM-0000076,PORTAL-SESSION-0000076,CLI-0014,PORTAL-USER-00052,Driver Coordinator,professional-services-client-14.example.com,2025-10-02T15:00:00,Client Portal,REQ-0000076,Quote Request,Low,19.2,N,Open,2025-10-02T15:00:00,2025-10-08T15:00:00
CRM-0000077,PORTAL-SESSION-0000077,CLI-0010,PORTAL-USER-00087,Fleet Manager,government-client-10.example.com,2025-06-06T04:00:00,Client Portal,REQ-0000077,Maintenance Query,Medium,20.6,Y,Escalated,2025-06-06T04:00:00,2025-06-16T04:00:00
CRM-0000078,PORTAL-SESSION-0000078,CLI-0017,PORTAL-USER-00041,Driver Coordinator,construction-client-17.example.com,2025-09-03T07:00:00,Phone,REQ-0000078,Renewal Discussion,Critical,10.2,Y,Resolved,2025-09-03T07:00:00,2025-09-15T07:00:00
CRM-0000079,PORTAL-SESSION-0000079,CLI-0004,PORTAL-USER-00017,Finance User,utilities-client-04.example.com,2025-11-02T13:00:00,Email,REQ-0000079,Renewal Discussion,Medium,4.1,N,Escalated,2025-11-02T13:00:00,2025-11-14T13:00:00
CRM-0000080,PORTAL-SESSION-0000080,CLI-0005,PORTAL-USER-00025,Finance User,healthcare-client-05.example.com,2025-04-02T02:00:00,Client Portal,REQ-0000080,Invoice Query,Low,1.7,N,Resolved,2025-04-02T02:00:00,2025-04-10T02:00:00
CRM-0000081,PORTAL-SESSION-0000081,CLI-0007,PORTAL-USER-00037,Executive Viewer,utilities-client-07.example.com,2026-02-12T03:00:00,Client Portal,REQ-0000081,Quote Request,Critical,31.1,Y,Pending Client,2026-02-12T03:00:00,2026-02-25T03:00:00
CRM-0000082,PORTAL-SESSION-0000082,CLI-0014,PORTAL-USER-00077,Driver Coordinator,professional-services-client-14.example.com,2025-10-29T19:00:00,Client Portal,REQ-0000082,Renewal Discussion,Medium,18.5,N,Open,2025-10-29T19:00:00,2025-11-09T19:00:00
CRM-0000083,PORTAL-SESSION-0000083,CLI-0018,PORTAL-USER-00029,Executive Viewer,professional-services-client-18.example.com,2025-01-11T01:00:00,Phone,REQ-0000083,Maintenance Query,Low,26.6,N,Open,2025-01-11T01:00:00,2025-01-11T01:00:00
CRM-0000084,PORTAL-SESSION-0000084,CLI-0001,PORTAL-USER-00021,Driver Coordinator,professional-services-client-01.example.com,2025-06-28T06:00:00,CRM Case,REQ-0000084,Report Download,Critical,6.9,N,Open,2025-06-28T06:00:00,2025-07-03T06:00:00
CRM-0000085,PORTAL-SESSION-0000085,CLI-0002,PORTAL-USER-00035,Finance User,utilities-client-02.example.com,2025-06-17T05:00:00,CRM Case,REQ-0000085,Report Download,Low,33.7,N,Escalated,2025-06-17T05:00:00,2025-06-30T05:00:00
CRM-0000086,PORTAL-SESSION-0000086,CLI-0006,PORTAL-USER-00079,Fleet Manager,utilities-client-06.example.com,2025-12-04T18:00:00,Client Portal,REQ-0000086,Maintenance Query,Critical,19.3,Y,Pending Client,2025-12-04T18:00:00,2025-12-17T18:00:00
CRM-0000087,PORTAL-SESSION-0000087,CLI-0015,PORTAL-USER-00032,Finance User,healthcare-client-15.example.com,2026-01-23T13:00:00,CRM Case,REQ-0000087,Report Download,Medium,31.8,Y,Pending Client,2026-01-23T13:00:00,2026-01-26T13:00:00
CRM-0000088,PORTAL-SESSION-0000088,CLI-0016,PORTAL-USER-00011,Driver Coordinator,government-client-16.example.com,2025-07-28T23:00:00,Client Portal,REQ-0000088,Renewal Discussion,Critical,6.5,Y,Open,2025-07-28T23:00:00,2025-07-31T23:00:00
CRM-0000089,PORTAL-SESSION-0000089,CLI-0014,PORTAL-USER-00014,Fleet Manager,professional-services-client-14.example.com,2025-10-10T09:00:00,Client Portal,REQ-0000089,Vehicle Order,Medium,23.9,N,Pending Client,2025-10-10T09:00:00,2025-10-24T09:00:00
CRM-0000090,PORTAL-SESSION-0000090,CLI-0008,PORTAL-USER-00020,Fleet Manager,government-client-08.example.com,2026-01-03T19:00:00,CRM Case,REQ-0000090,Invoice Query,Medium,16.7,N,Escalated,2026-01-03T19:00:00,2026-01-08T19:00:00
CRM-0000091,PORTAL-SESSION-0000091,CLI-0001,PORTAL-USER-00064,Executive Viewer,professional-services-client-01.example.com,2025-07-27T15:00:00,Client Portal,REQ-0000091,Renewal Discussion,Low,15.3,N,Pending Client,2025-07-27T15:00:00,2025-07-27T15:00:00
CRM-0000092,PORTAL-SESSION-0000092,CLI-0018,PORTAL-USER-00084,Driver Coordinator,professional-services-client-18.example.com,2025-09-25T03:00:00,CRM Case,REQ-0000092,Quote Request,Medium,16.9,Y,Escalated,2025-09-25T03:00:00,2025-09-26T03:00:00
CRM-0000093,PORTAL-SESSION-0000093,CLI-0015,PORTAL-USER-00089,Fleet Manager,healthcare-client-15.example.com,2026-04-16T16:00:00,Email,REQ-0000093,Report Download,Critical,20.9,N,Resolved,2026-04-16T16:00:00,2026-04-21T16:00:00
CRM-0000094,PORTAL-SESSION-0000094,CLI-0016,PORTAL-USER-00087,Fleet Manager,government-client-16.example.com,2025-04-02T23:00:00,CRM Case,REQ-0000094,Renewal Discussion,Critical,13.6,Y,Escalated,2025-04-02T23:00:00,2025-04-14T23:00:00
CRM-0000095,PORTAL-SESSION-0000095,CLI-0006,PORTAL-USER-00074,Fleet Manager,utilities-client-06.example.com,2025-11-10T11:00:00,CRM Case,REQ-0000095,Invoice Query,Critical,7.4,N,Resolved,2025-11-10T11:00:00,2025-11-15T11:00:00
CRM-0000096,PORTAL-SESSION-0000096,CLI-0008,PORTAL-USER-00086,Executive Viewer,government-client-08.example.com,2025-11-05T08:00:00,Client Portal,REQ-0000096,Maintenance Query,High,31.9,N,Escalated,2025-11-05T08:00:00,2025-11-09T08:00:00
CRM-0000097,PORTAL-SESSION-0000097,CLI-0016,PORTAL-USER-00053,Executive Viewer,government-client-16.example.com,2025-03-15T19:00:00,Email,REQ-0000097,Quote Request,Critical,20.7,Y,Escalated,2025-03-15T19:00:00,2025-03-15T19:00:00
CRM-0000098,PORTAL-SESSION-0000098,CLI-0018,PORTAL-USER-00077,Executive Viewer,professional-services-client-18.example.com,2025-01-02T17:00:00,Email,REQ-0000098,Renewal Discussion,Critical,9.3,N,Resolved,2025-01-02T17:00:00,2025-01-08T17:00:00
CRM-0000099,PORTAL-SESSION-0000099,CLI-0009,PORTAL-USER-00025,Driver Coordinator,professional-services-client-09.example.com,2025-02-08T16:00:00,Client Portal,REQ-0000099,Maintenance Query,Critical,8.8,Y,Resolved,2025-02-08T16:00:00,2025-02-11T16:00:00
CRM-0000100,PORTAL-SESSION-0000100,CLI-0013,PORTAL-USER-00069,Fleet Manager,utilities-client-13.example.com,2026-01-11T18:00:00,Phone,REQ-0000100,Invoice Query,Low,9.6,N,Open,2026-01-11T18:00:00,2026-01-23T18:00:00
CRM-0000101,PORTAL-SESSION-0000101,CLI-0006,PORTAL-USER-00066,Executive Viewer,utilities-client-06.example.com,2025-12-06T20:00:00,Client Portal,REQ-0000101,Invoice Query,Medium,4.3,N,Pending Client,2025-12-06T20:00:00,2025-12-12T20:00:00
CRM-0000102,PORTAL-SESSION-0000102,CLI-0005,PORTAL-USER-00006,Executive Viewer,healthcare-client-05.example.com,2026-05-08T14:00:00,Phone,REQ-0000102,Invoice Query,Low,0.7,N,Resolved,2026-05-08T14:00:00,2026-05-16T14:00:00
