vehicle_id,client_id,vin,registration_plate,asset_type,make,model,model_year,fuel_type,state_registered,odometer_km,in_service_date,lease_end_date,vehicle_status,telematics_device_id,telematics_device_model,telematics_install_date,effective_at,updated_at
VEH-00030,CLI-0011,6SYNTH00000000030,SYN030E,Ute,Mitsubishi,Triton,2024,PHEV,WA,72773,2024-11-13,2027-10-29,In Service,TELDEV-000030,SYN-SAFETY,2024-11-13,2024-11-13T00:00:00,2024-12-28T00:00:00
VEH-00031,CLI-0017,6SYNTH00000000031,SYN031F,Passenger,Mazda,CX-5,2025,Diesel,TAS,88291,2024-01-16,2027-12-26,In Service,TELDEV-000031,OEM-CONNECT,2024-01-24,2024-01-16T00:00:00,2024-03-02T00:00:00
VEH-00032,CLI-0010,6SYNTH00000000032,SYN032G,Light Commercial,Mitsubishi,Triton,2024,Hybrid,QLD,56289,2024-04-04,2029-03-09,Pending Disposal,TELDEV-000032,SYN-SAFETY,2024-04-14,2024-04-04T00:00:00,2024-05-21T00:00:00
VEH-00033,CLI-0006,6SYNTH00000000033,SYN033H,Van,BYD,Atto 3,2026,BEV,NSW,85658,2023-09-09,2027-08-19,In Service,TELDEV-000033,SYN-T200,2023-09-15,2023-09-09T00:00:00,2023-10-27T00:00:00
VEH-00034,CLI-0011,6SYNTH00000000034,SYN034I,SUV,Isuzu,D-MAX,2024,BEV,NT,50483,2024-06-24,2029-05-29,In Service,TELDEV-000034,OEM-CONNECT,2024-07-02,2024-06-24T00:00:00,2024-08-12T00:00:00
VEH-00035,CLI-0011,6SYNTH00000000035,SYN035J,SUV,Toyota,Corolla,2021,Diesel,NSW,18114,2023-09-28,2026-09-12,In Service,TELDEV-000035,SYN-SAFETY,2023-10-07,2023-09-28T00:00:00,2023-11-17T00:00:00
VEH-00036,CLI-0003,6SYNTH00000000036,SYN036K,Truck,Isuzu,D-MAX,2023,BEV,NT,110766,2023-02-03,2028-01-08,In Service,TELDEV-000036,SYN-T200,2023-02-13,2023-02-03T00:00:00,2023-03-26T00:00:00
VEH-00037,CLI-0001,6SYNTH00000000037,SYN037L,Truck,Toyota,Corolla,2024,BEV,NT,19164,2023-03-25,2026-03-09,Off Road,TELDEV-000037,SYN-T200,2023-04-08,2023-03-25T00:00:00,2023-05-16T00:00:00
VEH-00038,CLI-0004,6SYNTH00000000038,SYN038M,Van,Isuzu,D-MAX,2024,Diesel,TAS,122017,2024-08-09,2029-07-14,Off Road,TELDEV-000038,SYN-SAFETY,2024-08-22,2024-08-09T00:00:00,2024-10-01T00:00:00
VEH-00039,CLI-0018,6SYNTH00000000039,SYN039N,Light Commercial,Isuzu,D-MAX,2026,Diesel,WA,78695,2024-08-30,2028-08-09,Off Road,TELDEV-000039,SYN-SAFETY,2024-09-09,2024-08-30T00:00:00,2024-10-23T00:00:00
VEH-00040,CLI-0008,6SYNTH00000000040,SYN040O,Light Commercial,Kia,Sportage,2021,BEV,SA,94040,2022-06-08,2027-05-13,In Service,TELDEV-000040,SYN-T100,2022-06-10,2022-06-08T00:00:00,2022-08-02T00:00:00
VEH-00041,CLI-0005,6SYNTH00000000041,SYN041P,SUV,Hyundai,i30,2020,BEV,ACT,112849,2022-11-09,2027-10-14,In Service,TELDEV-000041,SYN-SAFETY,2022-11-15,2022-11-09T00:00:00,2023-01-04T00:00:00
VEH-00042,CLI-0002,6SYNTH00000000042,SYN042Q,Truck,Hyundai,i30,2020,BEV,ACT,131037,2024-03-08,2029-02-10,In Service,TELDEV-000042,OEM-CONNECT,2024-03-12,2024-03-08T00:00:00,2024-05-04T00:00:00
VEH-00043,CLI-0013,6SYNTH00000000043,SYN043R,SUV,Mitsubishi,Triton,2023,PHEV,WA,77548,2025-01-23,2029-12-28,Pending Disposal,TELDEV-000043,SYN-SAFETY,2025-01-23,2025-01-23T00:00:00,2025-03-22T00:00:00
VEH-00044,CLI-0013,6SYNTH00000000044,SYN044S,SUV,Tesla,Model Y,2026,BEV,NT,39456,2024-04-08,2029-03-13,Off Road,TELDEV-000044,SYN-T100,2024-04-22,2024-04-08T00:00:00,2024-06-06T00:00:00
VEH-00045,CLI-0013,6SYNTH00000000045,SYN045T,Truck,BYD,Atto 3,2023,BEV,QLD,127031,2022-02-25,2025-02-09,In Service,TELDEV-000045,SYN-T100,2022-03-01,2022-02-25T00:00:00,2022-04-26T00:00:00
VEH-00046,CLI-0013,6SYNTH00000000046,SYN046U,Light Commercial,Tesla,Model Y,2022,BEV,ACT,78943,2023-03-10,2027-02-17,Pending Disposal,TELDEV-000046,OEM-CONNECT,2023-03-23,2023-03-10T00:00:00,2023-05-10T00:00:00
VEH-00047,CLI-0003,6SYNTH00000000047,SYN047V,Light Commercial,Isuzu,D-MAX,2021,Petrol,VIC,16553,2025-01-09,2027-12-25,In Service,TELDEV-000047,SYN-T200,2025-01-12,2025-01-09T00:00:00,2025-03-12T00:00:00
VEH-00048,CLI-0001,6SYNTH00000000048,SYN048W,SUV,BYD,Atto 3,2023,BEV,VIC,153841,2022-11-09,2025-10-24,In Service,TELDEV-000048,SYN-SAFETY,2022-11-20,2022-11-09T00:00:00,2023-01-11T00:00:00
VEH-00049,CLI-0009,6SYNTH00000000049,SYN049X,Van,Tesla,Model Y,2025,BEV,VIC,48930,2022-12-10,2027-11-14,In Service,TELDEV-000049,SYN-T100,2022-12-19,2022-12-10T00:00:00,2023-02-12T00:00:00
VEH-00050,CLI-0001,6SYNTH00000000050,SYN050Y,Truck,Kia,Sportage,2021,PHEV,VIC,161214,2024-02-08,2028-01-18,In Service,TELDEV-000050,SYN-T100,2024-02-19,2024-02-08T00:00:00,2024-04-13T00:00:00
VEH-00051,CLI-0010,6SYNTH00000000051,SYN051Z,Passenger,BYD,Atto 3,2022,BEV,ACT,103142,2022-09-05,2027-08-10,In Service,TELDEV-000051,OEM-CONNECT,2022-09-05,2022-09-05T00:00:00,2022-11-10T00:00:00
VEH-00052,CLI-0014,6SYNTH00000000052,SYN052A,Truck,Isuzu,D-MAX,2026,Petrol,NT,46105,2024-06-06,2028-05-16,Pending Disposal,TELDEV-000052,SYN-T200,2024-06-17,2024-06-06T00:00:00,2024-08-12T00:00:00
VEH-00053,CLI-0017,6SYNTH00000000053,SYN053B,Ute,Kia,Sportage,2023,PHEV,SA,90490,2025-01-07,2028-12-17,In Service,TELDEV-000053,SYN-T100,2025-01-11,2025-01-07T00:00:00,2025-03-16T00:00:00
VEH-00054,CLI-0015,6SYNTH00000000054,SYN054C,Passenger,Hyundai,i30,2023,BEV,TAS,53668,2024-02-16,2028-01-26,Pending Disposal,TELDEV-000054,SYN-T200,2024-02-21,2024-02-16T00:00:00,2024-04-25T00:00:00
VEH-00055,CLI-0009,6SYNTH00000000055,SYN055D,Truck,Tesla,Model Y,2022,BEV,NSW,141430,2023-07-27,2028-06-30,In Service,TELDEV-000055,SYN-T100,2023-07-30,2023-07-27T00:00:00,2023-10-05T00:00:00
VEH-00056,CLI-0014,6SYNTH00000000056,SYN056E,Ute,Isuzu,D-MAX,2025,PHEV,NT,123486,2023-05-08,2028-04-11,In Service,TELDEV-000056,SYN-T100,2023-05-12,2023-05-08T00:00:00,2023-07-18T00:00:00
VEH-00057,CLI-0008,6SYNTH00000000057,SYN057F,Van,Mitsubishi,Triton,2022,Diesel,NT,151089,2023-09-20,2028-08-24,Off Road,TELDEV-000057,OEM-CONNECT,2023-09-26,2023-09-20T00:00:00,2023-12-01T00:00:00
VEH-00058,CLI-0018,6SYNTH00000000058,SYN058G,Ute,Tesla,Model Y,2022,BEV,SA,71903,2023-12-22,2028-11-25,In Service,TELDEV-000058,SYN-T100,2024-01-02,2023-12-22T00:00:00,2024-03-04T00:00:00
VEH-00059,CLI-0007,6SYNTH00000000059,SYN059H,Van,Tesla,Model Y,2026,BEV,QLD,56211,2022-09-02,2027-08-07,In Service,TELDEV-000059,SYN-SAFETY,2022-09-06,2022-09-02T00:00:00,2022-11-15T00:00:00
VEH-00060,CLI-0017,6SYNTH00000000060,SYN060I,SUV,BYD,Atto 3,2022,BEV,WA,100602,2023-08-03,2026-07-18,In Service,TELDEV-000060,OEM-CONNECT,2023-08-03,2023-08-03T00:00:00,2023-09-17T00:00:00
VEH-00061,CLI-0018,6SYNTH00000000061,SYN061J,Van,Ford,Ranger,2022,Hybrid,QLD,134680,2022-04-04,2025-03-19,In Service,TELDEV-000061,SYN-T100,2022-04-13,2022-04-04T00:00:00,2022-05-20T00:00:00
VEH-00062,CLI-0010,6SYNTH00000000062,SYN062K,SUV,Isuzu,D-MAX,2020,BEV,SA,131233,2024-06-21,2028-05-31,In Service,TELDEV-000062,SYN-T100,2024-06-27,2024-06-21T00:00:00,2024-08-07T00:00:00
VEH-00063,CLI-0016,6SYNTH00000000063,SYN063L,SUV,Toyota,Corolla,2026,PHEV,SA,28329,2022-04-20,2025-04-04,In Service,TELDEV-000063,SYN-T100,2022-04-28,2022-04-20T00:00:00,2022-06-07T00:00:00
VEH-00064,CLI-0014,6SYNTH00000000064,SYN064M,Ute,BYD,Atto 3,2023,BEV,NT,83949,2023-04-08,2028-03-12,Off Road,TELDEV-000064,SYN-SAFETY,2023-04-12,2023-04-08T00:00:00,2023-05-27T00:00:00
VEH-00065,CLI-0002,6SYNTH00000000065,SYN065N,Truck,BYD,Atto 3,2021,BEV,SA,27282,2022-07-23,2025-07-07,In Service,TELDEV-000065,SYN-T200,2022-07-25,2022-07-23T00:00:00,2022-09-11T00:00:00
VEH-00066,CLI-0018,6SYNTH00000000066,SYN066O,Ute,Toyota,Corolla,2025,Diesel,NT,82351,2022-01-06,2025-12-16,In Service,TELDEV-000066,SYN-T200,2022-01-10,2022-01-06T00:00:00,2022-02-26T00:00:00
VEH-00067,CLI-0010,6SYNTH00000000067,SYN067P,Truck,Isuzu,D-MAX,2024,Petrol,WA,117447,2023-04-24,2027-04-03,In Service,TELDEV-000067,SYN-T200,2023-05-04,2023-04-24T00:00:00,2023-06-15T00:00:00
VEH-00068,CLI-0005,6SYNTH00000000068,SYN068Q,SUV,Kia,Sportage,2026,Diesel,SA,161987,2022-05-27,2025-05-11,Off Road,TELDEV-000068,OEM-CONNECT,2022-06-03,2022-05-27T00:00:00,2022-07-19T00:00:00
VEH-00069,CLI-0004,6SYNTH00000000069,SYN069R,Van,Isuzu,D-MAX,2024,Hybrid,NT,120755,2024-04-04,2028-03-14,In Service,TELDEV-000069,SYN-T100,2024-04-18,2024-04-04T00:00:00,2024-05-28T00:00:00
VEH-00070,CLI-0014,6SYNTH00000000070,SYN070S,Passenger,Tesla,Model Y,2021,BEV,NSW,76650,2023-05-28,2026-05-12,Off Road,TELDEV-000070,SYN-T100,2023-06-09,2023-05-28T00:00:00,2023-07-22T00:00:00
VEH-00071,CLI-0006,6SYNTH00000000071,SYN071T,SUV,Isuzu,D-MAX,2024,PHEV,ACT,134902,2024-06-24,2028-06-03,In Service,TELDEV-000071,SYN-SAFETY,2024-06-29,2024-06-24T00:00:00,2024-08-19T00:00:00
VEH-00072,CLI-0014,6SYNTH00000000072,SYN072U,Passenger,Tesla,Model Y,2026,BEV,QLD,92456,2023-10-20,2028-09-23,Pending Disposal,TELDEV-000072,SYN-SAFETY,2023-10-24,2023-10-20T00:00:00,2023-12-16T00:00:00
VEH-00073,CLI-0013,6SYNTH00000000073,SYN073V,Light Commercial,Mazda,CX-5,2022,Petrol,TAS,36388,2024-07-20,2027-07-05,Pending Disposal,TELDEV-000073,SYN-T100,2024-07-30,2024-07-20T00:00:00,2024-09-16T00:00:00
VEH-00074,CLI-0018,6SYNTH00000000074,SYN074W,Van,Isuzu,D-MAX,2022,BEV,NT,121878,2022-04-22,2025-04-06,In Service,TELDEV-000074,SYN-T200,2022-04-26,2022-04-22T00:00:00,2022-06-20T00:00:00
VEH-00075,CLI-0018,6SYNTH00000000075,SYN075X,Ute,Ford,Ranger,2020,Hybrid,NSW,68730,2024-06-16,2029-05-21,In Service,TELDEV-000075,OEM-CONNECT,2024-06-24,2024-06-16T00:00:00,2024-08-15T00:00:00
VEH-00076,CLI-0001,6SYNTH00000000076,SYN076Y,Passenger,Mazda,CX-5,2023,BEV,VIC,46362,2022-07-10,2025-06-24,Pending Disposal,TELDEV-000076,OEM-CONNECT,2022-07-18,2022-07-10T00:00:00,2022-09-09T00:00:00
VEH-00077,CLI-0009,6SYNTH00000000077,SYN077Z,Ute,Mitsubishi,Triton,2024,BEV,QLD,106554,2024-08-25,2027-08-10,In Service,TELDEV-000077,SYN-T200,2024-09-07,2024-08-25T00:00:00,2024-10-26T00:00:00
VEH-00078,CLI-0003,6SYNTH00000000078,SYN078A,Light Commercial,Kia,Sportage,2026,BEV,NSW,80144,2023-11-28,2028-11-01,In Service,TELDEV-000078,SYN-SAFETY,2023-12-11,2023-11-28T00:00:00,2024-01-30T00:00:00
VEH-00079,CLI-0005,6SYNTH00000000079,SYN079B,Light Commercial,Isuzu,D-MAX,2024,PHEV,ACT,125365,2024-09-18,2028-08-28,In Service,TELDEV-000079,SYN-T200,2024-09-29,2024-09-18T00:00:00,2024-11-21T00:00:00
VEH-00080,CLI-0008,6SYNTH00000000080,SYN080C,Ute,BYD,Atto 3,2020,BEV,TAS,129987,2024-02-24,2027-02-08,Pending Disposal,TELDEV-000080,SYN-SAFETY,2024-03-05,2024-02-24T00:00:00,2024-04-29T00:00:00
VEH-00081,CLI-0005,6SYNTH00000000081,SYN081D,Van,Isuzu,D-MAX,2022,Petrol,VIC,121423,2022-09-16,2027-08-21,In Service,TELDEV-000081,SYN-SAFETY,2022-09-16,2022-09-16T00:00:00,2022-11-21T00:00:00
VEH-00082,CLI-0005,6SYNTH00000000082,SYN082E,Light Commercial,Mitsubishi,Triton,2022,Diesel,ACT,27054,2022-06-03,2026-05-13,In Service,TELDEV-000082,SYN-SAFETY,2022-06-08,2022-06-03T00:00:00,2022-08-09T00:00:00
VEH-00083,CLI-0016,6SYNTH00000000083,SYN083F,Truck,Mazda,CX-5,2025,Petrol,SA,65634,2022-05-21,2025-05-05,In Service,TELDEV-000083,SYN-SAFETY,2022-05-22,2022-05-21T00:00:00,2022-07-28T00:00:00
VEH-00084,CLI-0004,6SYNTH00000000084,SYN084G,Passenger,Isuzu,D-MAX,2022,Diesel,NSW,82904,2023-09-06,2026-08-21,In Service,TELDEV-000084,OEM-CONNECT,2023-09-12,2023-09-06T00:00:00,2023-11-14T00:00:00
VEH-00085,CLI-0005,6SYNTH00000000085,SYN085H,Truck,Hyundai,i30,2026,PHEV,QLD,50560,2024-04-23,2029-03-28,In Service,TELDEV-000085,SYN-T100,2024-05-02,2024-04-23T00:00:00,2024-07-02T00:00:00
VEH-00086,CLI-0013,6SYNTH00000000086,SYN086I,Van,BYD,Atto 3,2021,BEV,WA,126887,2023-05-09,2027-04-18,In Service,TELDEV-000086,SYN-SAFETY,2023-05-13,2023-05-09T00:00:00,2023-07-19T00:00:00
VEH-00087,CLI-0001,6SYNTH00000000087,SYN087J,Passenger,Isuzu,D-MAX,2023,Hybrid,TAS,160028,2025-01-24,2028-01-09,In Service,TELDEV-000087,SYN-SAFETY,2025-02-04,2025-01-24T00:00:00,2025-04-06T00:00:00
VEH-00088,CLI-0009,6SYNTH00000000088,SYN088K,Ute,Isuzu,D-MAX,2020,Hybrid,WA,105972,2023-02-12,2027-01-22,Off Road,TELDEV-000088,OEM-CONNECT,2023-02-21,2023-02-12T00:00:00,2023-04-26T00:00:00
VEH-00089,CLI-0010,6SYNTH00000000089,SYN089L,Passenger,Kia,Sportage,2024,Petrol,NSW,164965,2024-03-21,2028-02-29,Pending Disposal,TELDEV-000089,OEM-CONNECT,2024-04-02,2024-03-21T00:00:00,2024-06-03T00:00:00
VEH-00090,CLI-0008,6SYNTH00000000090,SYN090M,Truck,BYD,Atto 3,2021,BEV,SA,41855,2023-12-23,2026-12-07,In Service,TELDEV-000090,SYN-T100,2023-12-27,2023-12-23T00:00:00,2024-02-06T00:00:00
VEH-00091,CLI-0015,6SYNTH00000000091,SYN091N,SUV,Toyota,HiLux,2020,PHEV,SA,91647,2024-01-18,2028-12-22,Pending Disposal,TELDEV-000091,SYN-T200,2024-01-21,2024-01-18T00:00:00,2024-03-04T00:00:00
VEH-00092,CLI-0005,6SYNTH00000000092,SYN092O,Light Commercial,Mazda,CX-5,2026,Hybrid,QLD,73363,2024-12-23,2029-11-27,Pending Disposal,TELDEV-000092,OEM-CONNECT,2025-01-03,2024-12-23T00:00:00,2025-02-08T00:00:00
VEH-00093,CLI-0011,6SYNTH00000000093,SYN093P,SUV,Toyota,Corolla,2026,BEV,ACT,152096,2022-06-04,2025-05-19,In Service,TELDEV-000093,SYN-T100,2022-06-16,2022-06-04T00:00:00,2022-07-22T00:00:00
VEH-00094,CLI-0013,6SYNTH00000000094,SYN094Q,Ute,Toyota,HiLux,2022,Hybrid,SA,159238,2025-01-03,2027-12-19,Pending Disposal,TELDEV-000094,OEM-CONNECT,2025-01-04,2025-01-03T00:00:00,2025-02-21T00:00:00
VEH-00095,CLI-0008,6SYNTH00000000095,SYN095R,Van,Isuzu,D-MAX,2021,Petrol,VIC,127704,2025-02-23,2029-02-02,In Service,TELDEV-000095,SYN-SAFETY,2025-02-24,2025-02-23T00:00:00,2025-04-14T00:00:00
VEH-00096,CLI-0005,6SYNTH00000000096,SYN096S,Passenger,Toyota,HiLux,2020,Petrol,WA,146914,2023-09-16,2027-08-26,In Service,TELDEV-000096,SYN-SAFETY,2023-09-23,2023-09-16T00:00:00,2023-11-06T00:00:00
VEH-00097,CLI-0012,6SYNTH00000000097,SYN097T,Truck,Mazda,CX-5,2020,BEV,NT,112985,2022-11-13,2026-10-23,In Service,TELDEV-000097,SYN-T100,2022-11-24,2022-11-13T00:00:00,2023-01-04T00:00:00
VEH-00098,CLI-0012,6SYNTH00000000098,SYN098U,Light Commercial,Hyundai,i30,2020,BEV,TAS,148728,2024-06-29,2027-06-14,In Service,TELDEV-000098,SYN-T100,2024-07-05,2024-06-29T00:00:00,2024-08-21T00:00:00
VEH-00099,CLI-0009,6SYNTH00000000099,SYN099V,Truck,Hyundai,i30,2021,Petrol,NSW,19258,2024-07-20,2027-07-05,In Service,TELDEV-000099,SYN-T200,2024-07-22,2024-07-20T00:00:00,2024-09-12T00:00:00
VEH-00100,CLI-0007,6SYNTH00000000100,SYN100W,SUV,Toyota,Corolla,2026,PHEV,WA,92129,2023-03-01,2028-02-03,In Service,TELDEV-000100,SYN-T100,2023-03-05,2023-03-01T00:00:00,2023-04-25T00:00:00
VEH-00101,CLI-0005,6SYNTH00000000101,SYN101X,Passenger,Ford,Ranger,2025,PHEV,NSW,40551,2023-05-29,2026-05-13,In Service,TELDEV-000101,OEM-CONNECT,2023-06-10,2023-05-29T00:00:00,2023-07-24T00:00:00
VEH-00102,CLI-0008,6SYNTH00000000102,SYN102Y,SUV,BYD,Atto 3,2022,BEV,NSW,39228,2023-10-26,2026-10-10,Pending Disposal,TELDEV-000102,SYN-T100,2023-11-06,2023-10-26T00:00:00,2023-12-22T00:00:00
VEH-00103,CLI-0003,6SYNTH00000000103,SYN103Z,Van,Isuzu,D-MAX,2020,BEV,NT,138078,2024-01-12,2028-12-16,In Service,TELDEV-000103,SYN-T100,2024-01-23,2024-01-12T00:00:00,2024-03-10T00:00:00
VEH-00104,CLI-0017,6SYNTH00000000104,SYN104A,Ute,Kia,Sportage,2026,BEV,ACT,117745,2022-03-05,2025-02-17,In Service,TELDEV-000104,SYN-SAFETY,2022-03-16,2022-03-05T00:00:00,2022-05-03T00:00:00
VEH-00105,CLI-0015,6SYNTH00000000105,SYN105B,SUV,Toyota,Corolla,2020,Petrol,QLD,78093,2023-10-22,2028-09-25,Off Road,TELDEV-000105,OEM-CONNECT,2023-10-28,2023-10-22T00:00:00,2023-12-21T00:00:00
VEH-00106,CLI-0017,6SYNTH00000000106,SYN106C,Ute,Kia,Sportage,2020,BEV,VIC,150529,2024-11-01,2029-10-06,In Service,TELDEV-000106,SYN-SAFETY,2024-11-08,2024-11-01T00:00:00,2025-01-01T00:00:00
